OBJECTID,NAME,GeoNew,SqMi,Zip_Code,Median_Inc,Median_I_1,Percent_Re,RSO,Occupied_H,RSO_per_Oc,Per_who_Pa,Population,High_Chang,Current_Ra,Future_Rai,Housing_Pr,Affordable,Eligible,F7indicato,F2000_est,Difference,Percent_Di,Exclusion_,SHAPE_Length,SHAPE_Area
97,1132.33,A06037113233,0.441643648219,91304,43546,8916,69.00843,1553,2351,0.66057,44.604317,7477,0,0,0,0,0,Eligible,0.194441516924,6222,1255,20.17036323, ,0.0490919744014546,0.000111924687870807
98,1132.34,A06037113234,0.394926474206,91304,37949,12904,53.533377,577,1428,0.404062,37.533156,4678,0,0,0,0,0.379623,Eligible,0.180968077312,4224,454,10.74810606, ,0.04951511119179,0.000100084339515062
99,1174.05,A06037117405,0.0779231726185,91343,32313,6934,95.995867,561,853,0.657679,37.484117,3876,0,0,0,0,0,Eligible,0.223256457973,3553,323,9.090909091, ,0.0181759250074855,1.97494748484535e-05
100,1175.30,A06037117530,0.21499467871,91343,35985,7810,77.642833,890,1502,0.592543,41.852487,5846,0,0,0,0,0,Eligible,0.207999754227,5518,328,5.944182675, ,0.0301667662572638,5.44841752520178e-05
101,1193.10,A06037119310,0.165578758527,91402,43786,5794,41.301939,140,1093,0.128088,26.519337,3765,0,0,0,0,0,Eligible,0.100385184374,3164,601,18.99888846, ,0.0304740314338962,4.19714893124158e-05
102,2216.02,A06037221602,0.201860417099,90007,27308,6377,88.798646,683,828,0.824879,30.417755,2955,0.824783,0,0,0,0,Eligible,0.319849320445,3083,-128,-4.151800195, ,0.0384231144713411,5.10415658329578e-05
103,2349.02,A06037234902,0.172869385057,90043,27911,5363,79.11198,1216,1430,0.85035,41.910499,3700,0,0,0.815078,0,0,Eligible,0.323142755305,4251,-551,-12.96165608, ,0.0299484068930328,4.36814869618895e-05
104,2362.03,A06037236203,0.131017762334,90016,26942,6161,98.737651,1546,1457,1.061084,40.506329,3644,0,0.91424,0.679916,0,0,Eligible,0.403432986554,2837,807,28.44554106, ,0.033024427105518,3.31206014299666e-05
105,2362.04,A06037236204,0.0887525850843,90008,29760,4324,100,1406,1211,1.161024,30.470685,3241,0,0.777167,0,0,0,Eligible,0.26747885967,3452,-211,-6.11239861, ,0.0197372516984825,2.2435180117997e-05
106,2371.01,A06037237101,0.242840176562,90044,26202,7118,61.17897,725,1035,0.700483,48.807854,3768,0,0,0,0,0,Eligible,0.192278045965,4250,-482,-11.34117647, ,0.0313606759214381,6.13645321605299e-05
107,2372.02,A06037237202,0.42800373467,90047,37586,9224,51.969342,616,1272,0.484277,40.225035,4703,0,0,0,0,0,Eligible,0.144703919915,3938,765,19.42610462, ,0.0446351999123842,0.000108154382943833
108,1193.40,A06037119340,0.0471586370179,91402,30000,6876,97.787847,781,920,0.848913,39.752252,3752,0,0,0,0,0,Eligible,0.233584836357,3970,-218,-5.491183879, ,0.0138461660508302,1.19522438389518e-05
109,2374.01,A06037237401,0.199275272842,90044,32028,6635,48.337875,322,968,0.332645,43.191489,3670,0,0,0,0,0,Eligible,0.152849906675,3556,114,3.205849269, ,0.0284573083823742,5.03515325302466e-05
110,2374.02,A06037237402,0.201252878851,90047,32406,5113,25.869759,182,1027,0.177215,30.32967,3375,0,0,0,0,0,Eligible,0.0937847859439,3389,-14,-0.41310121, ,0.0286291727884754,5.08512331883964e-05
111,2392.02,A06037239202,0.492526035518,90001,35978,6769,61.918287,579,976,0.593238,46.128501,4577,0,0,0,0,0.284526,Eligible,0.202077284824,4056,521,12.84516765, ,0.0494310984317602,0.000124459010044256
112,2395.01,A06037239501,0.183099311994,90001,31208,6607,67.413442,436,875,0.498286,48.242812,3437,0,0,0,0,0,Eligible,0.197255589356,3056,381,12.46727749, ,0.0334463323089979,4.62612957334358e-05
113,2395.02,A06037239502,0.197272658463,90001,30694,5373,59.241275,512,833,0.614646,50.411523,3295,0,0,0,0,0,Eligible,0.183914588109,2939,356,12.11296359, ,0.0341141571779345,4.98400613323343e-05
114,2396.02,A06037239602,0.138262492735,90003,29330,6303,73.537378,586,779,0.752246,51.351351,3692,0,0,0,0,0.290777,Eligible,0.23339350092,3038,654,21.52732061, ,0.0292187917697715,3.49315033509157e-05
115,2397.01,A06037239701,0.158187157286,90003,24618,7800,64.969493,624,1020,0.611765,59.370529,4753,0,0,0,0,0,Eligible,0.227164401543,3694,1059,28.66811045, ,0.029811718942854,3.99637007863182e-05
116,2145.02,A06037214502,0.0996866073925,90036,65659,16726,100,1894,2489,0.760948,33.507433,5083,0.703053,0,0.530507,0,0,Eligible,0.408876464781,3400,1683,49.5, ,0.0242796869125291,2.52152522324759e-05
117,2345.01,A06037234501,0.290274711476,90043,34635,7639,42.568958,228,891,0.255892,47.321429,2473,0,0,0.776668,0,0,Eligible,0.274659285193,2723,-250,-9.181050312, ,0.0400505848782598,7.33614587549382e-05
118,2345.02,A06037234502,0.21036754308,90043,29063,8611,53.373946,621,1061,0.585297,36.48,2151,0,0,0.889288,0,0,Eligible,0.286161459162,2650,-499,-18.83018868, ,0.0370939965732765,5.31692184902824e-05
119,2652.01,A06037265201,0.169424440666,90024,94375,51607,30,393,926,0.424406,48.199446,2867,0,0,0.470418,0,0,Eligible,0.19400060262,4738,-1871,-39.48923596, ,0.0346981371421972,4.28544892696019e-05
120,1200.20,A06037120020,0.213156344353,91402,31975,5067,83.422022,851,1085,0.784332,31.710079,4888,0,0,0,0,0,Eligible,0.17858055286,4257,631,14.82264506, ,0.0503211904825358,5.40144786323529e-05
